Full Complaint ID,Complaint Year Number,Month Number,Record Create Date,Complaint Precinct Code,Patrol Borough Name,County,Law Code Category Description,Offense Description,PD Code Description,Bias Motive Description,Offense Category,Arrest Date,Arrest Id
2.02E+14,2021,9,9/4/2021,83,PATROL BORO BKLYN NORTH,KINGS,FELONY,ROBBERY,"ROBBERY,PERSONAL ELECTRONIC DEVICE",ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,9/13/2021,M33700494
2.02E+14,2021,9,9/4/2021,83,PATROL BORO BKLYN NORTH,KINGS,FELONY,ROBBERY,"ROBBERY,PERSONAL ELECTRONIC DEVICE",ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,9/8/2021,K33702895
2.02E+14,2021,7,7/26/2021,103,PATROL BORO QUEENS SOUTH,QUEENS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,"MENACING,UNCLASSIFIED",ANTI-MUSLIM,Religion/Religious Practice,7/27/2021,Q33691449
2.02E+14,2021,9,9/5/2021,103,PATROL BORO QUEENS SOUTH,QUEENS,FELONY,DANGEROUS WEAPONS,CRIMINAL POSSESSION WEAPON,ANTI-TRANSGENDER,Gender,9/5/2021,Q33695476
2.02E+14,2021,9,9/21/2021,103,PATROL BORO QUEENS SOUTH,QUEENS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-CATHOLIC,Religion/Religious Practice,1/23/2022,Q34674314
2.02E+14,2021,3,3/29/2021,104,PATROL BORO QUEENS NORTH,QUEENS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,"MENACING,UNCLASSIFIED",ANTI-ASIAN,Race/Color,1/26/2022,Q34674654
2.02E+14,2021,8,8/3/2021,104,PATROL BORO QUEENS NORTH,QUEENS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,"MENACING,UNCLASSIFIED",ANTI-WHITE,Race/Color,8/3/2021,Q33692103
2.02E+14,2021,5,5/23/2021,107,PATROL BORO QUEENS SOUTH,QUEENS,FELONY,ROBBERY,"ROBBERY,OPEN AREA UNCLASSIFIED",ANTI-ASIAN,Race/Color,7/22/2021,Q33691020
2.02E+14,2021,3,3/12/2021,109,PATROL BORO QUEENS NORTH,QUEENS,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-ASIAN,Race/Color,3/12/2021,Q33678904
2.02E+14,2021,3,3/12/2021,109,PATROL BORO QUEENS NORTH,QUEENS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-ASIAN,Race/Color,3/12/2021,Q33678908
2.02E+14,2021,3,3/12/2021,109,PATROL BORO QUEENS NORTH,QUEENS,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-ASIAN,Race/Color,3/12/2021,Q33678907
2.02E+14,2021,3,3/12/2021,109,PATROL BORO QUEENS NORTH,QUEENS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-ASIAN,Race/Color,3/12/2021,Q33678801
2.02E+14,2021,1,1/31/2021,110,PATROL BORO QUEENS NORTH,QUEENS,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",ANTI-MUSLIM,Religion/Religious Practice,4/20/2021,Q33682476
2.02E+14,2021,6,6/6/2021,112,PATROL BORO QUEENS NORTH,QUEENS,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-BLACK,Race/Color,6/17/2021,Q33687640
2.02E+14,2021,6,6/13/2021,112,PATROL BORO QUEENS NORTH,QUEENS,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-BLACK,Race/Color,6/17/2021,Q33687647
2.02E+14,2021,7,7/17/2021,112,PATROL BORO QUEENS NORTH,QUEENS,FELONY,CRIMINAL MISCHIEF & RELATED OF,"MISCHIEF,CRIMINAL,    UNCL 2ND",ANTI-CATHOLIC,Religion/Religious Practice,9/10/2021,Q33695904
2.02E+14,2021,4,4/12/2021,114,PATROL BORO QUEENS NORTH,QUEENS,FELONY,ROBBERY,"ROBBERY,RESIDENTIAL COMMON AREA",ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,4/12/2021,Q33681793
2.02E+14,2021,9,9/12/2021,114,PATROL BORO QUEENS NORTH,QUEENS,FELONY,ROBBERY,"ROBBERY,COMMERCIAL UNCLASSIFIED",ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,12/7/2021,Q33704703
2.02E+14,2021,6,6/29/2021,115,PATROL BORO QUEENS NORTH,QUEENS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,"MENACING,UNCLASSIFIED",ANTI-TRANSGENDER,Gender,6/29/2021,Q33688706
2.02E+14,2021,6,6/29/2021,115,PATROL BORO QUEENS NORTH,QUEENS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,"MENACING,UNCLASSIFIED",ANTI-TRANSGENDER,Gender,6/29/2021,Q33688708
2.02E+14,2021,9,9/18/2021,115,PATROL BORO QUEENS NORTH,QUEENS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,"MENACING,UNCLASSIFIED",ANTI-TRANSGENDER,Gender,9/18/2021,Q33696699
2.02E+14,2021,2,2/15/2021,120,PATROL BORO STATEN ISLAND,RICHMOND,FELONY,CRIMINAL MISCHIEF & RELATED OF,CRIMINAL MIS 2 & 3,ANTI-BLACK,Race/Color,3/24/2021,S33673859
2.02E+14,2021,3,3/24/2021,120,PATROL BORO STATEN ISLAND,RICHMOND,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-BLACK,Race/Color,3/24/2021,S33673857
2.02E+14,2021,3,3/24/2021,120,PATROL BORO STATEN ISLAND,RICHMOND,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-BLACK,Race/Color,3/24/2021,S33673858
2.02E+14,2022,8,8/24/2022,1,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,OFFENSES AGAINST PUBLIC ADMINI,RESISTING ARREST,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,8/24/2022,M34703775
2.02E+14,2022,9,9/16/2022,1,PATROL BORO MAN SOUTH,NEW YORK,FELONY,MISCELLANEOUS PENAL LAW,MENACING 1ST DEGREE (VICT NOT,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,9/16/2022,K34711080
2.02E+14,2022,2,2/7/2022,5,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,"MENACING,UNCLASSIFIED",ANTI-ASIAN,Race/Color,2/7/2022,M34676338
2.02E+14,2022,6,6/21/2022,5,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,"MENACING,UNCLASSIFIED",ANTI-WHITE,Race/Color,6/21/2022,M34695226
2.02E+14,2022,6,6/30/2022,5,PATROL BORO MAN SOUTH,NEW YORK,FELONY,MISCELLANEOUS PENAL LAW,CRIMINAL CONTEMPT 1,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,6/29/2022,M34696491
2.02E+14,2022,2,2/17/2022,6,PATROL BORO MAN SOUTH,NEW YORK,FELONY,GRAND LARCENY,"LARCENY,GRAND BY THEFT OF CREDIT CARD",ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,2/17/2022,M34677791
2.02E+14,2022,1,1/18/2022,7,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,"MENACING,UNCLASSIFIED",ANTI-BLACK,Race/Color,1/18/2022,M34674086
2.02E+14,2022,1,1/21/2022,7,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,OBSTR BREATH/CIRCUL,ANTI-ASIAN,Race/Color,4/12/2022,M34685468
2.02E+14,2022,1,1/21/2022,7,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,OBSTR BREATH/CIRCUL,ANTI-ASIAN,Race/Color,4/1/2022,M34683892
2.02E+14,2022,4,4/6/2022,7,PATROL BORO MAN SOUTH,NEW YORK,FELONY,ROBBERY,"ROBBERY,OPEN AREA UNCLASSIFIED",ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,4/26/2022,M34687516
2.02E+14,2022,4,4/6/2022,7,PATROL BORO MAN SOUTH,NEW YORK,FELONY,ROBBERY,"ROBBERY,OPEN AREA UNCLASSIFIED",ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,11/8/2022,M34714635
2.02E+14,2022,6,6/26/2022,7,PATROL BORO MAN SOUTH,NEW YORK,FELONY,CRIMINAL MISCHIEF & RELATED OF,"MISCHIEF, CRIMINAL 3 & 2, OF M",ANTI-ASIAN,Race/Color,7/13/2022,M34698143
2.02E+14,2022,10,10/12/2022,7,PATROL BORO MAN SOUTH,NEW YORK,FELONY,GRAND LARCENY,"LARCENY,GRAND FROM BUILDING (NON-RESIDENCE) UNATTENDED",ANTI-CATHOLIC,Religion/Religious Practice,10/20/2022,M34711788
2.02E+14,2022,2,2/28/2022,9,PATROL BORO MAN SOUTH,NEW YORK,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-ASIAN,Race/Color,3/2/2022,M34679556
2.02E+14,2022,3,3/25/2022,10,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,"MENACING,UNCLASSIFIED",ANTI-ASIAN,Race/Color,4/12/2022,M34685595
2.02E+14,2022,3,3/9/2022,13,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,"MENACING,UNCLASSIFIED",ANTI-ASIAN,Race/Color,3/9/2022,M34680618
2.02E+14,2022,12,12/8/2022,13,PATROL BORO MAN SOUTH,NEW YORK,FELONY,FELONY ASSAULT,ASSAULT POLICE/PEACE OFFICER,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,12/8/2022,M34719051
2.02E+14,2022,12,12/8/2022,13,PATROL BORO MAN SOUTH,NEW YORK,FELONY,FELONY ASSAULT,ASSAULT POLICE/PEACE OFFICER,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,12/8/2022,M34719049
2.02E+14,2022,7,7/28/2022,14,PATROL BORO MAN SOUTH,NEW YORK,FELONY,FELONY ASSAULT,STRANGULATION 1ST,ANTI-ASIAN,Race/Color,7/28/2022,M34700203
2.02E+14,2022,7,7/28/2022,14,PATROL BORO MAN SOUTH,NEW YORK,FELONY,ROBBERY,"ROBBERY,POCKETBOOK/CARRIED BAG",ANTI-ASIAN,Race/Color,7/28/2022,M34700210
2.02E+14,2022,7,7/29/2022,14,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,SEX CRIMES,"SEXUAL ABUSE 3,2",ANTI-TRANSGENDER,Gender,7/29/2022,M34700366
2.02E+14,2022,8,8/25/2022,14,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,"MENACING,UNCLASSIFIED",ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,3/20/2023,M35683719
2.02E+14,2022,8,8/25/2022,14,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,"MENACING,UNCLASSIFIED",ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,10/13/2022,M34710804
2.02E+14,2022,7,7/28/2022,17,PATROL BORO MAN SOUTH,NEW YORK,FELONY,FELONY ASSAULT,ASSAULT POLICE/PEACE OFFICER,ANTI-WHITE,Race/Color,7/28/2022,M34700295
2.02E+14,2022,10,11/2/2022,17,PATROL BORO MAN SOUTH,NEW YORK,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-CATHOLIC,Religion/Religious Practice,11/9/2022,M34714847
2.02E+14,2022,10,10/28/2022,18,PATROL BORO MAN SOUTH,NEW YORK,FELONY,CRIMINAL MISCHIEF & RELATED OF,"MISCHIEF,CRIMINAL,    UNCL 2ND",ANTI-CATHOLIC,Religion/Religious Practice,11/9/2022,M34714848
2.02E+14,2022,10,10/29/2022,19,PATROL BORO MAN NORTH,NEW YORK,FELONY,CRIMINAL MISCHIEF & RELATED OF,"MISCHIEF,CRIMINAL,    UNCL 2ND",ANTI-CATHOLIC,Religion/Religious Practice,11/9/2022,M34714850
2.02E+14,2022,1,1/26/2022,25,PATROL BORO MAN NORTH,NEW YORK,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 1,CIVILIAN",ANTI-HISPANIC,Ethnicity/National Origin/Ancestry,3/4/2022,M34679890
